ticker,name,type,sector,industry,country,website,description
AAPL,Apple Inc.,STOCK,Technology,Consumer Electronics,United States,https://www.apple.com,Apple Inc. designs manufactures and markets smartphones personal computers tablets wearables and accessories worldwide.
MSFT,Microsoft Corporation,STOCK,Technology,Software - Infrastructure,United States,https://www.microsoft.com,Microsoft Corporation develops and supports software services devices and solutions worldwide.
GOOGL,Alphabet Inc.,STOCK,Technology,Internet Content & Information,United States,https://abc.xyz,Alphabet Inc. offers various products and platforms in the United States Europe the Middle East Africa and Asia Pacific.
AMZN,Amazon.com Inc.,STOCK,Consumer Cyclical,Internet Retail,United States,https://www.amazon.com,Amazon.com Inc. engages in the retail sale of consumer products and subscriptions through online and physical stores in North America and internationally.
NVDA,NVIDIA Corporation,STOCK,Technology,Semiconductors,United States,https://www.nvidia.com,NVIDIA Corporation provides graphics and compute and networking solutions in the United States Taiwan China Hong Kong and internationally.
META,Meta Platforms Inc.,STOCK,Technology,Internet Content & Information,United States,https://investor.fb.com,Meta Platforms Inc. engages in the development of products that enable people to connect and share with friends and family through mobile devices personal computers virtual reality headsets and wearables worldwide.
TSLA,Tesla Inc.,STOCK,Consumer Cyclical,Auto Manufacturers,United States,https://www.tesla.com,Tesla Inc. designs develops manufactures leases and sells electric vehicles and energy generation and storage systems in the United States China and internationally.
BRK-B,Berkshire Hathaway Inc.,STOCK,Financial Services,Insurance - Diversified,United States,https://www.berkshirehathaway.com,Berkshire Hathaway Inc. through its subsidiaries engages in the insurance railroad and utility businesses worldwide.
JPM,JPMorgan Chase & Co.,STOCK,Financial Services,Banks - Diversified,United States,https://www.jpmorganchase.com,JPMorgan Chase & Co. operates as a financial services company worldwide.
V,Visa Inc.,STOCK,Financial Services,Credit Services,United States,https://www.visa.com,Visa Inc. operates as a payment technology company in the United States and internationally.
JNJ,Johnson & Johnson,STOCK,Healthcare,Drug Manufacturers - General,United States,https://www.jnj.com,Johnson & Johnson researches and develops manufactures and sells various products in the healthcare field worldwide.
WMT,Walmart Inc.,STOCK,Consumer Defensive,Discount Stores,United States,https://www.walmart.com,Walmart Inc. engages in the operation of retail supercenters warehouse clubs and e-commerce websites worldwide.
PG,The Procter & Gamble Company,STOCK,Consumer Defensive,Household & Personal Products,United States,https://www.pg.com,The Procter & Gamble Company provides branded consumer packaged goods worldwide.
MA,Mastercard Incorporated,STOCK,Financial Services,Credit Services,United States,https://www.mastercard.com,Mastercard Incorporated a technology company provides transaction processing and other payment-related products and services in the United States and internationally.
HD,The Home Depot Inc.,STOCK,Consumer Cyclical,Home Improvement Retail,United States,https://www.homedepot.com,The Home Depot Inc. operates as a home improvement retailer in the United States Canada and Mexico.
CVX,Chevron Corporation,STOCK,Energy,Oil & Gas Integrated,United States,https://www.chevron.com,Chevron Corporation through its subsidiaries engages in the integrated energy and chemicals operations in the United States and internationally.
MRK,Merck & Co. Inc.,STOCK,Healthcare,Drug Manufacturers - General,United States,https://www.merck.com,Merck & Co. Inc. operates as a healthcare company worldwide.
ABBV,AbbVie Inc.,STOCK,Healthcare,Drug Manufacturers - General,United States,https://www.abbvie.com,AbbVie Inc. discovers develops manufactures and sells pharmaceuticals worldwide.
PEP,PepsiCo Inc.,STOCK,Consumer Defensive,Beverages - Non-Alcoholic,United States,https://www.pepsico.com,PepsiCo Inc. manufactures markets distributes and sells various beverages and convenient foods worldwide.
KO,The Coca-Cola Company,STOCK,Consumer Defensive,Beverages - Non-Alcoholic,United States,https://www.coca-colacompany.com,The Coca-Cola Company manufactures markets and sells various nonalcoholic beverages worldwide.
COST,Costco Wholesale Corporation,STOCK,Consumer Defensive,Discount Stores,United States,https://www.costco.com,Costco Wholesale Corporation together with its subsidiaries engages in the operation of membership warehouses in the United States Puerto Rico Canada Mexico Japan and other countries.
AVGO,Broadcom Inc.,STOCK,Technology,Semiconductors,United States,https://www.broadcom.com,Broadcom Inc. designs develops and supplies various semiconductor devices with a focus on complex digital and mixed signal complementary metal oxide semiconductor based devices and analog III-V based products worldwide.
TMO,Thermo Fisher Scientific Inc.,STOCK,Healthcare,Diagnostics & Research,United States,https://www.thermofisher.com,Thermo Fisher Scientific Inc. provides life sciences solutions analytical instruments specialty diagnostics and laboratory products and biopharma services worldwide.
MCD,McDonald's Corporation,STOCK,Consumer Cyclical,Restaurants,United States,https://www.mcdonalds.com,McDonald's Corporation operates and franchises McDonald's restaurants in the United States and internationally.
CSCO,Cisco Systems Inc.,STOCK,Technology,Communication Equipment,United States,https://www.cisco.com,Cisco Systems Inc. designs manufactures and sells Internet Protocol based networking and other products related to the communications and information technology industry in the Americas Europe the Middle East Africa and the Asia Pacific.
ACN,Accenture plc,STOCK,Technology,Information Technology Services,Ireland,https://www.accenture.com,Accenture plc provides professional services with capabilities in digital cloud and security worldwide.
ABT,Abbott Laboratories,STOCK,Healthcare,Medical Devices,United States,https://www.abbott.com,Abbott Laboratories together with its subsidiaries discovers develops manufactures and sells health care products worldwide.
DHR,Danaher Corporation,STOCK,Healthcare,Diagnostics & Research,United States,https://www.danaher.com,Danaher Corporation designs manufactures and markets professional medical dental industrial and commercial products and services worldwide.
ADBE,Adobe Inc.,STOCK,Technology,Software - Infrastructure,United States,https://www.adobe.com,Adobe Inc. operates as a diversified software company worldwide.
CRM,Salesforce Inc.,STOCK,Technology,Software - Application,United States,https://www.salesforce.com,Salesforce Inc. provides Customer Relationship Management technology that brings companies and customers together worldwide.
NKE,NIKE Inc.,STOCK,Consumer Cyclical,Footwear & Accessories,United States,https://www.nike.com,NIKE Inc. together with its subsidiaries designs develops markets and sells athletic footwear apparel equipment and accessories worldwide.
ORCL,Oracle Corporation,STOCK,Technology,Software - Infrastructure,United States,https://www.oracle.com,Oracle Corporation offers products and services that address enterprise information technology environments worldwide.
NFLX,Netflix Inc.,STOCK,Communication Services,Entertainment,United States,https://www.netflix.com,Netflix Inc. provides entertainment services offering TV series documentaries feature films and games across various genres and languages.
AMD,Advanced Micro Devices Inc.,STOCK,Technology,Semiconductors,United States,https://www.amd.com,Advanced Micro Devices Inc. operates as a semiconductor company worldwide.
INTC,Intel Corporation,STOCK,Technology,Semiconductors,United States,https://www.intel.com,Intel Corporation designs develops manufactures and sells computing and related products and services worldwide.
DIS,The Walt Disney Company,STOCK,Communication Services,Entertainment,United States,https://www.thewaltdisneycompany.com,The Walt Disney Company operates as an entertainment company worldwide.
PYPL,PayPal Holdings Inc.,STOCK,Financial Services,Credit Services,United States,https://www.paypal.com,PayPal Holdings Inc. operates a technology platform that enables digital payments on behalf of merchants and consumers worldwide.
QCOM,QUALCOMM Incorporated,STOCK,Technology,Semiconductors,United States,https://www.qualcomm.com,QUALCOMM Incorporated engages in the development and commercialization of foundational technologies for the wireless industry worldwide.
IBM,International Business Machines Corporation,STOCK,Technology,Information Technology Services,United States,https://www.ibm.com,International Business Machines Corporation together with its subsidiaries provides integrated solutions and services worldwide.
GE,General Electric Company,STOCK,Industrials,Specialty Industrial Machinery,United States,https://www.ge.com,General Electric Company operates as a high-tech industrial company in Europe the Americas the Middle East Africa and Asia.
BA,The Boeing Company,STOCK,Industrials,Aerospace & Defense,United States,https://www.boeing.com,The Boeing Company together with its subsidiaries designs develops manufactures sells services and supports commercial jetliners military aircraft satellites missile defense space launch systems and services.
