Ticker,Type,File
AAPL,STOCK,AAPL_1d.csv
AAPL,STOCK,AAPL_1h.csv
AAVE-USD,CRYPTO,AAVE-USD_1h.csv
ABBV,STOCK,ABBV_1h.csv
ABNB,STOCK,ABNB_1h.csv
ABT,STOCK,ABT_1h.csv
ACI,STOCK,ACI_1h.csv
ADA-USD,CRYPTO,ADA-USD_1h.csv
ADBE,STOCK,ADBE_1h.csv
ADP,STOCK,ADP_1h.csv
ADSK,STOCK,ADSK_1h.csv
AEM,STOCK,AEM_1h.csv
AEP,STOCK,AEP_1h.csv
AFG,STOCK,AFG_1h.csv
AFL,STOCK,AFL_1h.csv
AFRM,STOCK,AFRM_1h.csv
AIG,STOCK,AIG_1h.csv
AIV,STOCK,AIV_1h.csv
AI,STOCK,AI_1h.csv
ALB,STOCK,ALB_1h.csv
ALGO-USD,CRYPTO,ALGO-USD_1h.csv
ALLY,STOCK,ALLY_1h.csv
ALL,STOCK,ALL_1h.csv
AMAT,STOCK,AMAT_1h.csv
AMC,STOCK,AMC_1h.csv
AMD,STOCK,AMD_1h.csv
AMGN,STOCK,AMGN_1h.csv
AMT,STOCK,AMT_1h.csv
AMZN,STOCK,AMZN_1h.csv
ANET,STOCK,ANET_1h.csv
AON,STOCK,AON_1h.csv
AOS,STOCK,AOS_1h.csv
APD,STOCK,APD_1h.csv
APE-USD,CRYPTO,APE-USD_1h.csv
APO,STOCK,APO_1h.csv
APP,STOCK,APP_1h.csv
ASML,STOCK,ASML_1h.csv
ATOM-USD,CRYPTO,ATOM-USD_1h.csv
AU,STOCK,AU_1h.csv
AVAX-USD,CRYPTO,AVAX-USD_1h.csv
AVGO,STOCK,AVGO_1h.csv
AXP,STOCK,AXP_1h.csv
AXS-USD,CRYPTO,AXS-USD_1h.csv
BAC,STOCK,BAC_1h.csv
BAH,STOCK,BAH_1h.csv
BBVA,STOCK,BBVA_1h.csv
BCS,STOCK,BCS_1h.csv
BEN,STOCK,BEN_1h.csv
BITF,STOCK,BITF_1h.csv
BKNG,STOCK,BKNG_1h.csv
BK,STOCK,BK_1h.csv
BLNK,STOCK,BLNK_1h.csv
BMO,STOCK,BMO_1h.csv
BNB-USD,CRYPTO,BNB-USD_1h.csv
BNDX,STOCK,BNDX_1h.csv
BOX,STOCK,BOX_1h.csv
BTC-USD,CRYPTO,BTC-USD_1h.csv
BX,STOCK,BX_1h.csv
B,STOCK,B_1h.csv
CAH,STOCK,CAH_1h.csv
CAT,STOCK,CAT_1h.csv
CB,STOCK,CB_1h.csv
CCL,STOCK,CCL_1h.csv
CDW,STOCK,CDW_1h.csv
CEG,STOCK,CEG_1h.csv
CF,STOCK,CF_1h.csv
CHWY,STOCK,CHWY_1h.csv
CLSK,STOCK,CLSK_1h.csv
CLX,STOCK,CLX_1h.csv
CL,STOCK,CL_1h.csv
CMG,STOCK,CMG_1h.csv
CNX,STOCK,CNX_1h.csv
COF,STOCK,COF_1h.csv
COIN,STOCK,COIN_1h.csv
COP,STOCK,COP_1h.csv
CORZ,STOCK,CORZ_1h.csv
COST,STOCK,COST_1h.csv
CRV-USD,CRYPTO,CRV-USD_1h.csv
CRWD,STOCK,CRWD_1h.csv
CTAS,STOCK,CTAS_1h.csv
CTSH,STOCK,CTSH_1h.csv
CVNA,STOCK,CVNA_1h.csv
CVX,STOCK,CVX_1h.csv
C,STOCK,C_1h.csv
DAVE,STOCK,DAVE_1h.csv
DBA,STOCK,DBA_1h.csv
DB,STOCK,DB_1h.csv
DD,STOCK,DD_1h.csv
DE,STOCK,DE_1h.csv
DGX,STOCK,DGX_1h.csv
DIS,STOCK,DIS_1h.csv
DKNG,STOCK,DKNG_1h.csv
DLB,STOCK,DLB_1h.csv
DOGE-USD,CRYPTO,DOGE-USD_1h.csv
DOT-USD,CRYPTO,DOT-USD_1h.csv
DOW,STOCK,DOW_1h.csv
DUK,STOCK,DUK_1h.csv
DVA,STOCK,DVA_1h.csv
DVN,STOCK,DVN_1h.csv
ELF,STOCK,ELF_1h.csv
EOG,STOCK,EOG_1h.csv
EQIX,STOCK,EQIX_1h.csv
EQNR,STOCK,EQNR_1h.csv
ETC-USD,CRYPTO,ETC-USD_1h.csv
ETH-USD,CRYPTO,ETH-USD_1h.csv
EXPE,STOCK,EXPE_1h.csv
FCX,STOCK,FCX_1h.csv
FDX,STOCK,FDX_1h.csv
FFIV,STOCK,FFIV_1h.csv
FIL-USD,CRYPTO,FIL-USD_1h.csv
FIZZ,STOCK,FIZZ_1h.csv
FMC,STOCK,FMC_1h.csv
FOXA,STOCK,FOXA_1h.csv
FOX,STOCK,FOX_1h.csv
FTNT,STOCK,FTNT_1h.csv
FUTU,STOCK,FUTU_1h.csv
FVRR,STOCK,FVRR_1h.csv
GDDY,STOCK,GDDY_1h.csv
GDX,STOCK,GDX_1h.csv
GE,STOCK,GE_1h.csv
GFI,STOCK,GFI_1h.csv
GILD,STOCK,GILD_1h.csv
GIS,STOCK,GIS_1h.csv
GLD,STOCK,GLD_1h.csv
GM,STOCK,GM_1h.csv
GOLD,STOCK,GOLD_1d.csv
GOOGL,STOCK,GOOGL_1h.csv
GOOG,STOCK,GOOG_1h.csv
GSK,STOCK,GSK_1h.csv
GS,STOCK,GS_1h.csv
GTLB,STOCK,GTLB_1h.csv
HBAN,STOCK,HBAN_1h.csv
HD,STOCK,HD_1h.csv
HMY,STOCK,HMY_1h.csv
HON,STOCK,HON_1h.csv
HOOD,STOCK,HOOD_1h.csv
HUT,STOCK,HUT_1h.csv
ICL,STOCK,ICL_1h.csv
ICP-USD,CRYPTO,ICP-USD_1h.csv
IDXX,STOCK,IDXX_1h.csv
IEF,STOCK,IEF_1h.csv
ING,STOCK,ING_1h.csv
INTC,STOCK,INTC_1h.csv
IONQ,STOCK,IONQ_1h.csv
IREN,STOCK,IREN_1h.csv
IRM,STOCK,IRM_1h.csv
ISRG,STOCK,ISRG_1h.csv
ITW,STOCK,ITW_1h.csv
IT,STOCK,IT_1h.csv
IVZ,STOCK,IVZ_1h.csv
JANX,STOCK,JANX_1h.csv
JD,STOCK,JD_1h.csv
JNJ,STOCK,JNJ_1h.csv
JOBY,STOCK,JOBY_1h.csv
JPIN,STOCK,JPIN_1h.csv
JPM,STOCK,JPM_1h.csv
KEY,STOCK,KEY_1h.csv
KHC,STOCK,KHC_1h.csv
KKR,STOCK,KKR_1h.csv
KMB,STOCK,KMB_1h.csv
KO,STOCK,KO_1h.csv
KR,STOCK,KR_1h.csv
LINK-USD,CRYPTO,LINK-USD_1h.csv
LI,STOCK,LI_1h.csv
LLY,STOCK,LLY_1d.csv
LLY,STOCK,LLY_1h.csv
LMND,STOCK,LMND_1h.csv
LMT,STOCK,LMT_1h.csv
LOW,STOCK,LOW_1h.csv
